spike_rank,iter,kl,sample,group,pool_slot,dataset_id,initial_pool_dataset_id,log_path
2,281,0.0434,36,4,34065,85539,85539,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,37,4,34065,85539,85539,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,38,4,34065,85539,85539,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,39,4,34065,85539,85539,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,40,5,32654,120592,120592,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,41,5,32654,120592,120592,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,42,5,32654,120592,120592,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,43,5,32654,120592,120592,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,44,5,32654,120592,120592,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,45,5,32654,120592,120592,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,46,5,32654,120592,120592,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,47,5,32654,120592,120592,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,48,6,6555,127584,127584,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,49,6,6555,127584,127584,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,50,6,6555,127584,127584,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,51,6,6555,127584,127584,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,52,6,6555,127584,127584,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,53,6,6555,127584,127584,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,54,6,6555,127584,127584,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,55,6,6555,127584,127584,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,56,7,5639,420431,420431,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,57,7,5639,420431,420431,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,58,7,5639,420431,420431,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,59,7,5639,420431,420431,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,60,7,5639,420431,420431,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,61,7,5639,420431,420431,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,62,7,5639,420431,420431,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,63,7,5639,420431,420431,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,0,0,6429,191896,191893,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,1,0,6429,191896,191893,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,2,0,6429,191896,191893,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,3,0,6429,191896,191893,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,4,0,6429,191896,191893,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,5,0,6429,191896,191893,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,6,0,6429,191896,191893,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,7,0,6429,191896,191893,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,8,1,37532,149074,149074,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,9,1,37532,149074,149074,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,10,1,37532,149074,149074,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,11,1,37532,149074,149074,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,12,1,37532,149074,149074,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,13,1,37532,149074,149074,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,14,1,37532,149074,149074,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,15,1,37532,149074,149074,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,16,2,13775,84839,84839,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,17,2,13775,84839,84839,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,18,2,13775,84839,84839,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,19,2,13775,84839,84839,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,20,2,13775,84839,84839,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,21,2,13775,84839,84839,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,22,2,13775,84839,84839,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,23,2,13775,84839,84839,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,24,3,472,370112,370109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,25,3,472,370112,370109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,26,3,472,370112,370109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,27,3,472,370112,370109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,28,3,472,370112,370109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,29,3,472,370112,370109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,30,3,472,370112,370109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,31,3,472,370112,370109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,32,4,17964,485062,485062,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,33,4,17964,485062,485062,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,34,4,17964,485062,485062,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,35,4,17964,485062,485062,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,36,4,17964,485062,485062,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,37,4,17964,485062,485062,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,38,4,17964,485062,485062,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,39,4,17964,485062,485062,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,40,5,16942,296907,296907,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,41,5,16942,296907,296907,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,42,5,16942,296907,296907,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,43,5,16942,296907,296907,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,44,5,16942,296907,296907,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,45,5,16942,296907,296907,wandb/run-20260630_155831-2gcw0mpa/files/output.log
